image_id,report_file,split,duplicate_group,leaks_into_test
Img001,Reports/Img001.txt,train,0,
Img002,Reports/Img002.txt,train,1,
Img003,Reports/Img003.txt,train,2,
Img004,Reports/Img004.txt,train,2,
Img005,Reports/Img005.txt,train,3,
Img006,Reports/Img006.txt,train,3,
Img007,Reports/Img007.txt,train,4,
Img008,Reports/Img008.txt,train,5,
Img009,Reports/Img009.txt,train,6,
Img010,Reports/Img010.txt,train,7,
Img011,Reports/Img011.txt,train,8,
Img012,Reports/Img012.txt,train,9,
Img013,Reports/Img013.txt,train,10,
Img014,Reports/Img014.txt,train,11,
Img015,Reports/Img015.txt,train,12,
Img016,Reports/Img016.txt,train,13,
Img017,Reports/Img017.txt,train,10,
Img018,Reports/Img018.txt,train,14,
Img019,Reports/Img019.txt,train,15,
Img020,Reports/Img020.txt,train,16,
Img021,Reports/Img021.txt,train,17,
Img022,Reports/Img022.txt,train,18,
Img023,Reports/Img023.txt,train,19,
Img024,Reports/Img024.txt,train,20,
Img025,Reports/Img025.txt,train,21,
Img026,Reports/Img026.txt,train,22,
Img027,Reports/Img027.txt,train,23,
Img028,Reports/Img028.txt,train,24,
Img029,Reports/Img029.txt,train,25,
Img030,Reports/Img030.txt,train,26,
Img031,Reports/Img031.txt,train,27,
Img032,Reports/Img032.txt,train,28,
Img033,Reports/Img033.txt,train,29,
Img034,Reports/Img034.txt,train,30,
Img035,Reports/Img035.txt,train,31,
Img036,Reports/Img036.txt,train,32,
Img037,Reports/Img037.txt,train,33,
Img038,Reports/Img038.txt,train,34,
Img039,Reports/Img039.txt,train,35,
Img040,Reports/Img040.txt,train,36,
Img041,Reports/Img041.txt,train,37,
Img042,Reports/Img042.txt,train,38,
Img043,Reports/Img043.txt,train,39,
Img044,Reports/Img044.txt,train,40,
Img045,Reports/Img045.txt,train,41,
Img046,Reports/Img046.txt,train,42,
Img047,Reports/Img047.txt,train,43,
Img048,Reports/Img048.txt,train,44,
Img049,Reports/Img049.txt,train,45,
Img050,Reports/Img050.txt,train,45,
Img051,Reports/Img051.txt,train,46,
Img052,Reports/Img052.txt,train,46,
Img053,Reports/Img053.txt,train,47,
Img054,Reports/Img054.txt,train,48,
Img055,Reports/Img055.txt,train,49,
Img056,Reports/Img056.txt,train,50,
Img057,Reports/Img057.txt,train,51,
Img058,Reports/Img058.txt,train,52,
Img059,Reports/Img059.txt,train,53,
Img060,Reports/Img060.txt,train,54,
Img061,Reports/Img061.txt,train,55,
Img062,Reports/Img062.txt,train,56,
Img063,Reports/Img063.txt,train,57,
Img064,Reports/Img064.txt,train,58,
Img065,Reports/Img065.txt,train,59,
Img066,Reports/Img066.txt,train,60,
Img067,Reports/Img067.txt,train,61,
Img068,Reports/Img068.txt,train,62,
Img069,Reports/Img069.txt,train,63,
Img070,Reports/Img070.txt,train,64,
Img071,Reports/Img071.txt,train,65,
Img072,Reports/Img072.txt,train,66,
Img073,Reports/Img073.txt,train,67,
Img074,Reports/Img074.txt,train,68,
Img075,Reports/Img075.txt,train,69,
Img076,Reports/Img076.txt,train,70,
Img077,Reports/Img077.txt,train,71,
Img078,Reports/Img078.txt,train,72,
Img079,Reports/Img079.txt,train,73,
Img080,Reports/Img080.txt,train,74,
Img081,Reports/Img081.txt,train,75,
Img082,Reports/Img082.txt,train,76,
Img083,Reports/Img083.txt,train,77,
Img084,Reports/Img084.txt,train,78,
Img085,Reports/Img085.txt,train,79,
Img086,Reports/Img086.txt,train,80,
Img087,Reports/Img087.txt,train,81,
Img088,Reports/Img088.txt,train,82,
Img089,Reports/Img089.txt,train,83,
